cluster	gene
cortical neurons 1	NEUROD6
cortical neurons 1	NEUROD2
cortical neurons 1	NFIB
cortical neurons 1	BHLHE22
cortical neurons 1	SSTR2
cortical neurons 1	GPM6A
cortical neurons 1	SLA
cortical neurons 1	IGFBP5
cortical neurons 1	STMN2
cortical neurons 1	GAP43
cortical neurons 1	BCL11A
cortical neurons 1	CSRP2
cortical neurons 1	GRIA2
cortical neurons 1	PPP2R2B
cortical neurons 1	SOX11
cortical neurons 1	NELL2
cortical neurons 1	CNTNAP2
cortical neurons 1	NFIA
cortical neurons 1	PDE1A
cortical neurons 1	SNAP25
cortical neurons 1	THSD7A
cortical neurons 1	BCHE
cortical neurons 1	CPE
cortical neurons 1	SOX5
cortical neurons 1	ENC1
cortical neurons 1	MAP1B
cortical neurons 1	SYT1
cortical neurons 1	RTN1
cortical neurons 1	NRN1
cortical neurons 1	THRA
cortical neurons 1	RAB3A
cortical neurons 1	CAMKV
cortical neurons 1	OLFM1
cortical neurons 1	FOXG1
cortical neurons 1	AUTS2
cortical neurons 1	SNCA
cortical neurons 1	JUN
cortical neurons 1	ZBTB18
cortical neurons 1	TSPAN13
cortical neurons 1	BASP1
cortical neurons 1	NSG1
cortical neurons 1	CHD3
cortical neurons 1	TTC9B
cortical neurons 1	TUBA1A
cortical neurons 1	MAPT
cortical neurons 1	FRMD4B
cortical neurons 1	TTC3
cortical neurons 1	MLLT11
cortical neurons 1	CRMP1
cortical neurons 1	PCSK1N
cortical neurons 1	KIF5C
cortical neurons 1	CELF2
cortical neurons 1	ELAVL4
cortical neurons 1	SEZ6L2
cortical neurons 1	TMSB10
cortical neurons 1	HMP19
cortical neurons 1	FAM49A
cortical neurons 1	ID2
cortical neurons 1	ELAVL3
cortical neurons 1	RBFOX2
cortical neurons 1	RASL11B
cortical neurons 1	TBR1
cortical neurons 1	BEX1
cortical neurons 1	TSPO
cortical neurons 1	SRGAP1
cortical neurons 1	TUBB2B
cortical neurons 1	FEZF2
cortical neurons 1	STMN4
cortical neurons 1	SEZ6
cortical neurons 1	APLP1
cortical neurons 1	C3orf14
cortical neurons 1	NREP
cortical neurons 1	ATP6V1G2
cortical neurons 1	SYT4
cortical neurons 1	EFNB2
cortical neurons 1	LY6H
cortical neurons 1	BEX2
cortical neurons 1	TMEM59L
cortical neurons 1	VAMP2
cortical neurons 1	CAMK2N1
cortical neurons 1	PODXL2
cortical neurons 1	TUBB2A
cortical neurons 1	CAP2
cortical neurons 1	CDK5R1
cortical neurons 1	NTRK3
cortical neurons 1	TERF2IP
cortical neurons 1	DRAXIN
cortical neurons 1	SH3BP5
cortical neurons 1	SOX4
cortical neurons 1	HN1
cortical neurons 1	FJX1
cortical neurons 1	TMEM132A
cortical neurons 1	GADD45G
cortical neurons 1	UCHL1
cortical neurons 1	CLMP
cortical neurons 1	EEF1A2
cortical neurons 1	DCX
cortical neurons 1	PRDM8
cortical neurons 1	RUNX1T1
cortical neurons 1	PLXNA2
cortical neurons 1	NRXN1
cortical neurons 1	NOL4
cortical neurons 1	SCG3
cortical neurons 1	PAFAH1B3
cortical neurons 1	GRIA1
cortical neurons 1	CDKN2D
cortical neurons 1	MAP2
cortical neurons 1	KLC1
cortical neurons 1	CELF3
cortical neurons 1	NR2F2
cortical neurons 1	BZW2
cortical neurons 1	DDAH2
cortical neurons 1	GNAO1
cortical neurons 1	FAM57B
cortical neurons 1	SYP
cortical neurons 1	HPCA
cortical neurons 1	SLC17A7
cortical neurons 1	PHF20L1
cortical neurons 1	MAP1LC3A
cortical neurons 1	SHB
cortical neurons 1	ARPP21
cortical neurons 1	CTXN1
cortical neurons 1	PAK3
cortical neurons 1	SPTAN1
cortical neurons 1	CNR1
cortical neurons 1	KIFAP3
cortical neurons 1	PGAP1
cortical neurons 1	C4orf48
cortical neurons 1	GSTA4
cortical neurons 1	RAB33A
cortical neurons 1	CEP170
cortical neurons 1	STXBP1
cortical neurons 1	FAM89B
cortical neurons 1	ZNF462
cortical neurons 1	NEUROD1
cortical neurons 1	MYO6
cortical neurons 1	GLRX
cortical neurons 1	DUSP1
cortical neurons 1	GNAI1
cortical neurons 1	ATAT1
cortical neurons 1	TMEM35
cortical neurons 1	NPDC1
cortical neurons 1	CADM1
cortical neurons 1	KHDRBS3
cortical neurons 1	PAK7
cortical neurons 1	RHOB
cortical neurons 1	AMER2
cortical neurons 1	TCF4
cortical neurons 1	CCDC112
cortical neurons 1	CSAD
cortical neurons 1	RUFY3
cortical neurons 1	MLLT4
cortical neurons 1	TAGLN3
cortical neurons 1	GDAP1L1
cortical neurons 1	EVL
cortical neurons 1	BAIAP2-AS1
cortical neurons 1	MYCN
cortical neurons 1	CALM1
cortical neurons 1	CELF4
cortical neurons 1	ZNF428
cortical neurons 1	RTN4
cortical neurons 1	MALAT1
cortical neurons 1	NFASC
cortical neurons 1	SEPT3
cortical neurons 1	RNF187
cortical neurons 1	MAP1A
cortical neurons 1	JPH4
cortical neurons 1	AKT3
cortical neurons 1	YWHAH
cortical neurons 1	KIF3A
cortical neurons 1	ST3GAL1
cortical neurons 1	LINGO1
cortical neurons 1	NCKAP5
cortical neurons 1	RBFOX3
cortical neurons 1	CEP85L
cortical neurons 1	KIDINS220
cortical neurons 1	EPB41L3
cortical neurons 1	CDC42EP3
cortical neurons 1	DSTN
cortical neurons 1	LINC01122
cortical neurons 1	CSNK1E
cortical neurons 1	CCNI
cortical neurons 1	NUDT3
cortical neurons 1	H1FX
cortical neurons 1	TCEAL2
cortical neurons 1	MLLT3
cortical neurons 1	CACNG8
cortical neurons 1	ENO2
cortical neurons 1	SERPINI1
cortical neurons 1	HPCAL1
cortical neurons 1	FGF13
cortical neurons 1	CAMK1D
cortical neurons 1	IDS
cortical neurons 1	NTM
cortical neurons 1	NEO1
cortical neurons 1	GPC2
cortical neurons 1	CAMK2B
cortical neurons 1	BCL7A
cortical neurons 1	FXYD6
cortical neurons 1	SEZ6L
cortical neurons 1	DDX24
cortical neurons 1	DCC
cortical neurons 1	ARL4D
